"book_id","isbn","authors","original_publication_year","title","average_rating","small_image_url"
"128029","1594489505","Khaled Hosseini","2007.0","A Thousand Splendid Suns","4.34","https://images.gr-assets.com/books/1345958969s/128029.jpg"
"22628","671027344","Stephen Chbosky","1999.0","The Perks of Being a Wallflower","4.21","https://images.gr-assets.com/books/1167352178s/22628.jpg"
"11735983","7442912","Veronica Roth","2012.0","Insurgent (Divergent, #2)","4.07","https://images.gr-assets.com/books/1325667729s/11735983.jpg"
"375802","812550706","Orson Scott Card","1985.0","Ender's Game (Ender's Saga, #1)","4.30","https://images.gr-assets.com/books/1408303130s/375802.jpg"
"18490","141439475","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","1818.0","Frankenstein","3.75","https://images.gr-assets.com/books/1381512375s/18490.jpg"
"11588","450040186","Stephen King","1977.0","The Shining (The Shining #1)","4.17","https://images.gr-assets.com/books/1353277730s/11588.jpg"
"1656001","316068047","Stephenie Meyer","2008.0","The Host (The Host, #1)","3.84","https://images.gr-assets.com/books/1318009171s/1656001.jpg"
"99561","142402516","John Green","2005.0","Looking for Alaska","4.09","https://images.gr-assets.com/books/1394798630s/99561.jpg"
"227443","014028009X","Helen Fielding","1996.0","Bridget Jones's Diary (Bridget Jones, #1)","3.75","https://images.gr-assets.com/books/1292060045s/227443.jpg"
"14935","141439661","Jane Austen, Tony Tanner, Ros Ballaster","1811.0","Sense and Sensibility","4.06","https://images.gr-assets.com/books/1397245675s/14935.jpg"
"38709","439244196","Louis Sachar, Louis Sachar","1998.0","Holes (Holes, #1)","3.93","https://images.gr-assets.com/books/1327781893s/38709.jpg"
"5139","307275558","Lauren Weisberger","2003.0","The Devil Wears Prada (The Devil Wears Prada, #1)","3.70","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"1381","143039954","Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox","-720.0","The Odyssey","3.73","https://images.gr-assets.com/books/1390173285s/1381.jpg"
"157993","156012197","Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta","1946.0","The Little Prince","4.28","https://images.gr-assets.com/books/1367545443s/157993.jpg"
"7445","074324754X","Jeannette Walls","2005.0","The Glass Castle","4.24","https://images.gr-assets.com/books/1400930557s/7445.jpg"
"1845","385486804","Jon Krakauer","1996.0","Into the Wild","3.94","https://images.gr-assets.com/books/1403173986s/1845.jpg"
"1953","141439602","Charles Dickens, Richard Maxwell, Hablot Knight Browne","1859.0","A Tale of Two Cities","3.81","https://images.gr-assets.com/books/1344922523s/1953.jpg"
"370493","60256656","Shel Silverstein","1964.0","The Giving Tree","4.38","https://images.gr-assets.com/books/1174210942s/370493.jpg"
"32542","385338600","John Grisham","1989.0","A Time to Kill","4.03","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"1617","374500010","Elie Wiesel, Marion Wiesel","1958.0","Night (The Night Trilogy #1)","4.30","https://images.gr-assets.com/books/1473495285s/1617.jpg"
"6442769","014241493X","John Green","2008.0","Paper Towns","3.88","https://images.gr-assets.com/books/1349013610s/6442769.jpg"
"21787","345418263","William Goldman","1973.0","The Princess Bride ","4.25","https://images.gr-assets.com/books/1327903636s/21787.jpg"
"231804","014038572X","S.E. Hinton","1967.0","The Outsiders","4.06","https://images.gr-assets.com/books/1442129426s/231804.jpg"
"6186357","385737947","James Dashner","2009.0","The Maze Runner (Maze Runner, #1)","4.02","https://images.gr-assets.com/books/1375596592s/6186357.jpg"
"1202","61234001","Steven D. Levitt, Stephen J. Dubner","2005.0","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","3.93","https://images.gr-assets.com/books/1327909092s/1202.jpg"
"2998","517189607","Frances Hodgson Burnett","1911.0","The Secret Garden","4.12","https://images.gr-assets.com/books/1327873635s/2998.jpg"
"320","60531045","Gabriel García Márquez, Gregory Rabassa","1967.0","One Hundred Years of Solitude","4.04","https://images.gr-assets.com/books/1327881361s/320.jpg"
"5297","375751513","Oscar Wilde, Jeffrey Eugenides","1891.0","The Picture of Dorian Gray","4.06","https://images.gr-assets.com/books/1424596966s/5297.jpg"
"13536860","345803507","E.L. James","2012.0","Fifty Shades Freed (Fifty Shades, #3)","3.88","https://images.gr-assets.com/books/1336418837s/13536860.jpg"
"17245","393970124","Bram Stoker, Nina Auerbach, David J. Skal","1897.0","Dracula","3.98","https://images.gr-assets.com/books/1387151694s/17245.jpg"
"5060378","307269981","Stieg Larsson, Reg Keeland","2006.0","The Girl Who Played with Fire (Millennium, #2)","4.22","https://images.gr-assets.com/books/1351778881s/5060378.jpg"
"11857408","1612130585","E.L. James","2011.0","Fifty Shades Darker (Fifty Shades, #2)","3.87","https://images.gr-assets.com/books/1358266080s/11857408.jpg"
"7244","60786507","Barbara Kingsolver","1998.0","The Poisonwood Bible","4.02","https://images.gr-assets.com/books/1412242487s/7244.jpg"
"4137","349113912","David Sedaris","2000.0","Me Talk Pretty One Day","3.97","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"19543","99408392","Maurice Sendak","1963.0","Where the Wild Things Are","4.22","https://images.gr-assets.com/books/1384434560s/19543.jpg"
"7126","140449264","Alexandre Dumas, Robin Buss","1844.0","The Count of Monte Cristo","4.21","https://images.gr-assets.com/books/1309203605s/7126.jpg"
"6288","307265439","Cormac McCarthy","2006.0","The Road","3.95","https://images.gr-assets.com/books/1439197219s/6288.jpg"
"18710190","7524277","Veronica Roth","2013.0","Allegiant (Divergent, #3)","3.63","https://images.gr-assets.com/books/1395582745s/18710190.jpg"
"9418327",,"Tina Fey","2011.0","Bossypants","3.94","https://images.gr-assets.com/books/1481509554s/9418327.jpg"
"3473","446693804","Nicholas Sparks","1999.0","A Walk to Remember","4.15","https://images.gr-assets.com/books/1385738968s/3473.jpg"
"9416","440241413","Sophie Kinsella","2000.0","Confessions of a Shopaholic (Shopaholic, #1)","3.61","https://images.gr-assets.com/books/1327872404s/9416.jpg"
"24280","451525264","Victor Hugo, Lee Fahnestock, Norman MacAfee","1862.0","Les Misérables","4.14","https://images.gr-assets.com/books/1411852091s/24280.jpg"
"10572","553381695","George R.R. Martin","1998.0","A Clash of Kings  (A Song of Ice and Fire, #2)","4.40","https://images.gr-assets.com/books/1358254974s/10572.jpg"
"10441","143037145","Kim Edwards","2005.0","The Memory Keeper's Daughter","3.64","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"15507958","670026603","Jojo Moyes","2012.0","Me Before You (Me Before You, #1)","4.27","https://images.gr-assets.com/books/1357108762s/15507958.jpg"
"168668","684833395","Joseph Heller","1961.0","Catch-22","3.98","https://images.gr-assets.com/books/1463157317s/168668.jpg"
"6900","751529818","Mitch Albom, Saulius Dagys","1997.0","Tuesdays with Morrie","4.06","https://images.gr-assets.com/books/1423763749s/6900.jpg"
"2187","312422156","Jeffrey Eugenides","2002.0","Middlesex","3.98","https://images.gr-assets.com/books/1437029776s/2187.jpg"
"24583","143039563","Mark Twain, Guy Cardwell, John Seelye","1876.0","The Adventures of Tom Sawyer","3.89","https://images.gr-assets.com/books/1404811979s/24583.jpg"
"18131","440498058","Madeleine L'Engle","1962.0","A Wrinkle in Time (A Wrinkle in Time Quintet, #1)","4.04","https://images.gr-assets.com/books/1329061522s/18131.jpg"
"7763","143038095","Amy Tan","1989.0","The Joy Luck Club","3.90","https://images.gr-assets.com/books/1304978653s/7763.jpg"
"38447","038549081X","Margaret Atwood","1985.0","The Handmaid's Tale","4.06","https://images.gr-assets.com/books/1498057733s/38447.jpg"
"452306","385729332","Ann Brashares","2001.0","The Sisterhood of the Traveling Pants (Sisterhood, #1)","3.75","https://images.gr-assets.com/books/1461611233s/452306.jpg"
"7604",,"Vladimir Nabokov, Craig Raine","1955.0","Lolita","3.88","https://images.gr-assets.com/books/1377756377s/7604.jpg"
"37442","60987103","Gregory Maguire, Douglas Smith","1995.0","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","3.52","https://images.gr-assets.com/books/1437733293s/37442.jpg"
"5358","582418275","John Grisham","1991.0","The Firm (Penguin Readers, Level 5)","3.99","https://images.gr-assets.com/books/1418465200s/5358.jpg"
"7937843","316098337","Emma Donoghue","2010.0","Room","4.03","https://images.gr-assets.com/books/1344265419s/7937843.jpg"
"1420","521618746","William Shakespeare, Richard Andrews, Rex Gibson","1600.0","Hamlet","4.00","https://images.gr-assets.com/books/1351051208s/1420.jpg"
"234225","340839937","Frank Herbert","1965.0","Dune (Dune Chronicles #1)","4.19","https://images.gr-assets.com/books/1434908555s/234225.jpg"
"2612","316346624","Malcolm Gladwell","2000.0","The Tipping Point: How Little Things Can Make a Big Difference","3.92","https://images.gr-assets.com/books/1473396980s/2612.jpg"
"11084145","1451648537","Walter Isaacson","2011.0","Steve Jobs","4.09","https://images.gr-assets.com/books/1327861368s/11084145.jpg"
"332613","451163966","Ken Kesey","1962.0","One Flew Over the Cuckoo's Nest","4.18","https://images.gr-assets.com/books/1485308778s/332613.jpg"
"2165","684830493","Ernest Hemingway","1952.0","The Old Man and the Sea","3.73","https://images.gr-assets.com/books/1329189714s/2165.jpg"
"4395","142000663","John Steinbeck","1939.0","The Grapes of Wrath","3.92","https://images.gr-assets.com/books/1352912927s/4395.jpg"
"3431","1401308589","Mitch Albom","2003.0","The Five People You Meet in Heaven","3.90","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"8127","451528824","L.M. Montgomery","1908.0","Anne of Green Gables (Anne of Green Gables, #1)","4.23","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"3777732","1416914307","Cassandra Clare","2009.0","City of Glass (The Mortal Instruments, #3)","4.34","https://images.gr-assets.com/books/1369452339s/3777732.jpg"
"62291","055357342X","George R.R. Martin","2000.0","A Storm of Swords (A Song of Ice and Fire, #3)","4.54","https://images.gr-assets.com/books/1497931121s/62291.jpg"
"137791","006075995X","Rebecca Wells","1996.0","Divine Secrets of the Ya-Ya Sisterhood","3.79","https://images.gr-assets.com/books/1408313524s/137791.jpg"
"10964","440242940","Diana Gabaldon","1991.0","Outlander (Outlander, #1)","4.20","https://images.gr-assets.com/books/1402600310s/10964.jpg"
"12296","142437263","Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym","1850.0","The Scarlet Letter","3.37","https://images.gr-assets.com/books/1404810944s/12296.jpg"
"9460487","1594744769","Ransom Riggs","2011.0","Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)","3.89","https://images.gr-assets.com/books/1472782916s/9460487.jpg"
"6892870","030726999X","Stieg Larsson, Reg Keeland","2007.0","The Girl Who Kicked the Hornet's Nest (Millennium, #3)","4.20","https://images.gr-assets.com/books/1327708260s/6892870.jpg"
"18007564","804139024","Andy Weir","2012.0","The Martian","4.39","https://images.gr-assets.com/books/1413706054s/18007564.jpg"
"5043","451207149","Ken Follett","1989.0","The Pillars of the Earth (The Kingsbridge Series, #1)","4.29","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"18143977","1476746583","Anthony Doerr","2014.0","All the Light We Cannot See","4.31","https://images.gr-assets.com/books/1451445646s/18143977.jpg"
"8664353","1400064163","Laura Hillenbrand","2010.0","Unbroken: A World War II Story of Survival, Resilience, and Redemption","4.40","https://images.gr-assets.com/books/1327861115s/8664353.jpg"
"976","671027387","Dan Brown","2001.0","Deception Point","3.67","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"17333223","316055433","Donna Tartt","2013.0","The Goldfinch","3.87","https://images.gr-assets.com/books/1451554970s/17333223.jpg"
"1217100","1595141715","Jay Asher","2007.0","Thirteen Reasons Why","4.02","https://images.gr-assets.com/books/1333822506s/1217100.jpg"
"2865","452287022","Tracy Chevalier","1999.0","Girl with a Pearl Earring","3.85","https://images.gr-assets.com/books/1327197580s/2865.jpg"
"4374400","525421033","Gayle Forman","2009.0","If I Stay (If I Stay, #1)","3.96","https://images.gr-assets.com/books/1347462970s/4374400.jpg"
"4989","312353766","Anita Diamant","1997.0","The Red Tent","4.16","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"28186","786856866","Rick Riordan","2006.0","The Sea of Monsters (Percy Jackson and the Olympians, #2)","4.23","https://images.gr-assets.com/books/1400602661s/28186.jpg"
"5526","446528056","Nicholas Sparks","2006.0","Dear John","4.01","https://images.gr-assets.com/books/1397749854s/5526.jpg"
"1582996","1416914293","Cassandra Clare","2008.0","City of Ashes (The Mortal Instruments, #2)","4.21","https://images.gr-assets.com/books/1432730356s/1582996.jpg"
"8852","743477103","William Shakespeare","1606.0","Macbeth","3.88","https://images.gr-assets.com/books/1459795224s/8852.jpg"
"15241","618346260","J.R.R. Tolkien","1954.0","The Two Towers (The Lord of the Rings, #2)","4.42","https://images.gr-assets.com/books/1298415523s/15241.jpg"
"42156","031232118X","Emily Giffin","2004.0","Something Borrowed (Darcy & Rachel, #1)","3.83","https://images.gr-assets.com/books/1305063535s/42156.jpg"
"23772","394800168","Dr. Seuss, לאה נאור","1960.0","Green Eggs and Ham","4.29","https://images.gr-assets.com/books/1468680100s/23772.jpg"
"6310","142403881","Roald Dahl, Quentin Blake","1964.0","Charlie and the Chocolate Factory (Charlie Bucket, #1)","4.10","https://images.gr-assets.com/books/1309211401s/6310.jpg"
"2120932","1423101464","Rick Riordan","2008.0","The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)","4.39","https://images.gr-assets.com/books/1443142158s/2120932.jpg"
"2623","192833596","Charles Dickens","1860.0","Great Expectations","3.75","https://images.gr-assets.com/books/1327920219s/2623.jpg"
"18512","345339738","J.R.R. Tolkien","1955.0","The Return of the King (The Lord of the Rings, #3)","4.51","https://images.gr-assets.com/books/1389977161s/18512.jpg"
"49552",,"Albert Camus, Matthew    Ward","1942.0","The Stranger","3.96","https://images.gr-assets.com/books/1349927872s/49552.jpg"
"7736182","142311339X","Rick Riordan","2010.0","The Lost Hero (The Heroes of Olympus, #1)","4.35","https://images.gr-assets.com/books/1464201003s/7736182.jpg"
"15745753","1250012570","Rainbow Rowell","2013.0","Eleanor & Park","4.11","https://images.gr-assets.com/books/1341952742s/15745753.jpg"
"13497","055358202X","George R.R. Martin","2005.0","A Feast for Crows (A Song of Ice and Fire, #4)","4.10","https://images.gr-assets.com/books/1429538615s/13497.jpg"
"7735333","525423648","Ally Condie","2010.0","Matched (Matched, #1)","3.68","https://images.gr-assets.com/books/1367706191s/7735333.jpg"
"4407","747263744","Neil Gaiman","2001.0","American Gods (American Gods, #1)","4.11","https://images.gr-assets.com/books/1258417001s/4407.jpg"
"149267","385199570","Stephen King, Bernie Wrightson","1978.0","The Stand","4.34","https://images.gr-assets.com/books/1213131305s/149267.jpg"
"6969","141439580","Jane Austen, Fiona Stafford","1815.0","Emma","3.99","https://images.gr-assets.com/books/1373627931s/6969.jpg"
"15823480","345803922","Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude","1877.0","Anna Karenina","4.02","https://images.gr-assets.com/books/1352422904s/15823480.jpg"
"227463","393312836","Anthony Burgess","1962.0","A Clockwork Orange","3.98","https://images.gr-assets.com/books/1348339306s/227463.jpg"
"1812457","964729237","William Paul Young","2007.0","The Shack","3.74","https://images.gr-assets.com/books/1344270232s/1812457.jpg"
"4502507","739380338","Rick Riordan","2009.0","The Last Olympian (Percy Jackson and the Olympians, #5)","4.50","https://images.gr-assets.com/books/1327924597s/4502507.jpg"
"18342","451169514","Stephen King","1986.0","It","4.18","https://images.gr-assets.com/books/1309376909s/18342.jpg"
"7144","143058142","Fyodor Dostoyevsky, David McDuff","1866.0","Crime and Punishment","4.18","https://images.gr-assets.com/books/1382846449s/7144.jpg"
"6514","61148512","Sylvia Plath","1963.0","The Bell Jar","3.98","https://images.gr-assets.com/books/1473890514s/6514.jpg"
"252577","7205236","Frank McCourt","1996.0","Angela's Ashes (Frank McCourt, #1)","4.07","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"52036","553208845","Hermann Hesse, Hilda Rosner","1922.0","Siddhartha","3.99","https://images.gr-assets.com/books/1428715580s/52036.jpg"
"168642","679745580","Truman Capote","1965.0","In Cold Blood","4.05","https://images.gr-assets.com/books/1424931136s/168642.jpg"
"6304335","316042676","Kami Garcia, Margaret Stohl","2009.0","Beautiful Creatures (Caster Chronicles, #1)","3.76","https://images.gr-assets.com/books/1327873282s/6304335.jpg"
"7171637","1416975861","Cassandra Clare","2010.0","Clockwork Angel (The Infernal Devices, #1)","4.33","https://images.gr-assets.com/books/1454962884s/7171637.jpg"
"39988","141301066","Roald Dahl, Quentin Blake","1988.0","Matilda","4.29","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"9361589","385534639","Erin Morgenstern","2011.0","The Night Circus","4.03","https://images.gr-assets.com/books/1387124618s/9361589.jpg"
"37470","743227441","Philippa Gregory","2001.0","The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)","4.04","https://images.gr-assets.com/books/1355932638s/37470.jpg"
"24770","689865384","Scott Westerfeld","2005.0","Uglies (Uglies, #1)","3.86","https://images.gr-assets.com/books/1443904172s/24770.jpg"
"10664113",,"George R.R. Martin","2011.0","A Dance with Dragons (A Song of Ice and Fire, #5)","4.31","https://images.gr-assets.com/books/1327885335s/10664113.jpg"
"33","618640150","J.R.R. Tolkien","1955.0","The Lord of the Rings (The Lord of the Rings, #1-3)","4.47","https://images.gr-assets.com/books/1411114164s/33.jpg"
"12262741","307592731","Cheryl Strayed","2012.0","Wild: From Lost to Found on the Pacific Crest Trail","3.96","https://images.gr-assets.com/books/1453189881s/12262741.jpg"
"472331","930289234","Alan Moore, Dave Gibbons, John Higgins","1987.0","Watchmen","4.35","https://images.gr-assets.com/books/1442239711s/472331.jpg"
