{20} -> {17} (conf: 0.921, supp: 0.275, lift: 2.972, conv: 8.698)
{23} -> {18} (conf: 0.918, supp: 0.269, lift: 3.093, conv: 8.555)
{18} -> {23} (conf: 0.906, supp: 0.269, lift: 3.093, conv: 7.548)
{24} -> {18} (conf: 0.925, supp: 0.269, lift: 3.117, conv: 9.378)
{18} -> {24} (conf: 0.906, supp: 0.269, lift: 3.117, conv: 7.519)
{27} -> {18} (conf: 0.905, supp: 0.255, lift: 3.050, conv: 7.411)
{27} -> {21} (conf: 0.911, supp: 0.257, lift: 3.191, conv: 8.064)
{21} -> {27} (conf: 0.901, supp: 0.257, lift: 3.191, conv: 7.238)
{27} -> {24} (conf: 0.916, supp: 0.258, lift: 3.151, conv: 8.411)
{27} -> {25} (conf: 0.909, supp: 0.257, lift: 3.174, conv: 7.860)
{52} -> {49} (conf: 0.923, supp: 0.166, lift: 5.075, conv: 10.580)
{49} -> {52} (conf: 0.914, supp: 0.166, lift: 5.075, conv: 9.525)
{56} -> {52} (conf: 0.914, supp: 0.161, lift: 5.075, conv: 9.525)
{7, 21} -> {27} (conf: 0.918, supp: 0.108, lift: 3.251, conv: 8.722)
{7, 24} -> {23} (conf: 0.906, supp: 0.109, lift: 3.092, conv: 7.542)
{7, 23} -> {24} (conf: 0.909, supp: 0.109, lift: 3.127, conv: 7.768)
{7, 27} -> {23} (conf: 0.903, supp: 0.106, lift: 3.083, conv: 7.320)
{7, 25} -> {24} (conf: 0.901, supp: 0.107, lift: 3.101, conv: 7.171)
{7, 27} -> {24} (conf: 0.934, supp: 0.110, lift: 3.216, conv: 10.805)
{7, 24} -> {27} (conf: 0.910, supp: 0.110, lift: 3.223, conv: 7.960)
{7, 27} -> {25} (conf: 0.927, supp: 0.109, lift: 3.235, conv: 9.734)
{7, 25} -> {27} (conf: 0.916, supp: 0.109, lift: 3.245, conv: 8.548)
{12, 20} -> {17} (conf: 0.932, supp: 0.114, lift: 3.007, conv: 10.078)
{12, 17} -> {20} (conf: 0.915, supp: 0.114, lift: 3.065, conv: 8.272)
{18, 20} -> {17} (conf: 0.947, supp: 0.134, lift: 3.057, conv: 12.982)
{17, 18} -> {20} (conf: 0.901, supp: 0.134, lift: 3.018, conv: 7.106)
{17, 21} -> {18} (conf: 0.910, supp: 0.132, lift: 3.065, conv: 7.785)
{17, 23} -> {18} (conf: 0.930, supp: 0.137, lift: 3.134, conv: 10.075)
{17, 18} -> {23} (conf: 0.922, supp: 0.137, lift: 3.145, conv: 9.034)
{17, 24} -> {18} (conf: 0.935, supp: 0.137, lift: 3.151, conv: 10.836)
{17, 18} -> {24} (conf: 0.924, supp: 0.137, lift: 3.180, conv: 9.322)
{17, 27} -> {18} (conf: 0.915, supp: 0.133, lift: 3.083, conv: 8.275)
{20, 21} -> {17} (conf: 0.949, supp: 0.131, lift: 3.063, conv: 13.492)
{17, 21} -> {20} (conf: 0.901, supp: 0.131, lift: 3.017, conv: 7.087)
{20, 23} -> {17} (conf: 0.948, supp: 0.133, lift: 3.061, conv: 13.356)
{17, 23} -> {20} (conf: 0.902, supp: 0.133, lift: 3.021, conv: 7.170)
{20, 24} -> {17} (conf: 0.948, supp: 0.132, lift: 3.061, conv: 13.295)
{17, 24} -> {20} (conf: 0.900, supp: 0.132, lift: 3.016, conv: 7.048)
{20, 25} -> {17} (conf: 0.948, supp: 0.132, lift: 3.059, conv: 13.189)
{20, 27} -> {17} (conf: 0.950, supp: 0.131, lift: 3.067, conv: 13.810)
{17, 21} -> {23} (conf: 0.902, supp: 0.131, lift: 3.077, conv: 7.199)
{17, 24} -> {21} (conf: 0.914, supp: 0.134, lift: 3.199, conv: 8.260)
{17, 21} -> {24} (conf: 0.922, supp: 0.134, lift: 3.172, conv: 9.040)
{17, 21} -> {25} (conf: 0.903, supp: 0.131, lift: 3.151, conv: 7.324)
{17, 27} -> {21} (conf: 0.929, supp: 0.135, lift: 3.252, conv: 10.018)
{17, 21} -> {27} (conf: 0.928, supp: 0.135, lift: 3.288, conv: 9.981)
{17, 24} -> {23} (conf: 0.910, supp: 0.133, lift: 3.107, conv: 7.894)
{17, 23} -> {24} (conf: 0.908, supp: 0.133, lift: 3.124, conv: 7.693)
{17, 24} -> {25} (conf: 0.901, supp: 0.132, lift: 3.147, conv: 7.235)
{17, 27} -> {24} (conf: 0.927, supp: 0.135, lift: 3.191, conv: 9.738)
{17, 24} -> {27} (conf: 0.918, supp: 0.135, lift: 3.254, conv: 8.806)
{17, 27} -> {25} (conf: 0.930, supp: 0.135, lift: 3.248, conv: 10.266)
{17, 25} -> {27} (conf: 0.919, supp: 0.135, lift: 3.255, conv: 8.848)
{17, 52} -> {49} (conf: 0.925, supp: 0.101, lift: 5.086, conv: 10.838)
{17, 49} -> {52} (conf: 0.932, supp: 0.101, lift: 5.176, conv: 12.061)
{20, 21} -> {18} (conf: 0.912, supp: 0.126, lift: 3.073, conv: 7.997)
{20, 23} -> {18} (conf: 0.929, supp: 0.130, lift: 3.131, conv: 9.929)
{18, 20} -> {23} (conf: 0.920, supp: 0.130, lift: 3.140, conv: 8.857)
{20, 24} -> {18} (conf: 0.938, supp: 0.131, lift: 3.161, conv: 11.366)
{18, 20} -> {24} (conf: 0.925, supp: 0.131, lift: 3.183, conv: 9.437)
{20, 27} -> {18} (conf: 0.918, supp: 0.126, lift: 3.095, conv: 8.621)
{21, 23} -> {18} (conf: 0.961, supp: 0.242, lift: 3.238, conv: 17.989)
{18, 21} -> {23} (conf: 0.948, supp: 0.242, lift: 3.236, conv: 13.684)
{21, 24} -> {18} (conf: 0.951, supp: 0.245, lift: 3.206, conv: 14.497)
{18, 24} -> {21} (conf: 0.910, supp: 0.245, lift: 3.186, conv: 7.921)
{18, 21} -> {24} (conf: 0.960, supp: 0.245, lift: 3.304, conv: 17.747)
{21, 25} -> {18} (conf: 0.939, supp: 0.233, lift: 3.165, conv: 11.609)
{18, 25} -> {21} (conf: 0.930, supp: 0.233, lift: 3.258, conv: 10.272)
{18, 21} -> {25} (conf: 0.916, supp: 0.233, lift: 3.199, conv: 8.525)
{21, 26} -> {18} (conf: 0.916, supp: 0.111, lift: 3.085, conv: 8.324)
{21, 27} -> {18} (conf: 0.935, supp: 0.241, lift: 3.151, conv: 10.824)
{18, 27} -> {21} (conf: 0.942, supp: 0.241, lift: 3.297, conv: 12.220)
{18, 21} -> {27} (conf: 0.944, supp: 0.241, lift: 3.346, conv: 12.919)
{23, 24} -> {18} (conf: 0.968, supp: 0.251, lift: 3.261, conv: 21.890)
{18, 24} -> {23} (conf: 0.934, supp: 0.251, lift: 3.186, conv: 10.663)
{18, 23} -> {24} (conf: 0.933, supp: 0.251, lift: 3.211, conv: 10.586)
{23, 25} -> {18} (conf: 0.965, supp: 0.234, lift: 3.252, conv: 20.157)
{18, 25} -> {23} (conf: 0.933, supp: 0.234, lift: 3.184, conv: 10.561)
{23, 26} -> {18} (conf: 0.933, supp: 0.114, lift: 3.143, conv: 10.450)
{18, 26} -> {23} (conf: 0.920, supp: 0.114, lift: 3.138, conv: 8.783)
{23, 27} -> {18} (conf: 0.964, supp: 0.240, lift: 3.249, conv: 19.582)
{18, 27} -> {23} (conf: 0.940, supp: 0.240, lift: 3.208, conv: 11.797)
{24, 25} -> {18} (conf: 0.951, supp: 0.239, lift: 3.206, conv: 14.477)
{18, 25} -> {24} (conf: 0.954, supp: 0.239, lift: 3.285, conv: 15.560)
{24, 26} -> {18} (conf: 0.941, supp: 0.116, lift: 3.170, conv: 11.861)
{18, 26} -> {24} (conf: 0.929, supp: 0.116, lift: 3.196, conv: 9.928)
{24, 27} -> {18} (conf: 0.951, supp: 0.246, lift: 3.206, conv: 14.494)
{18, 27} -> {24} (conf: 0.963, supp: 0.246, lift: 3.313, conv: 18.951)
{18, 24} -> {27} (conf: 0.915, supp: 0.246, lift: 3.242, conv: 8.447)
{25, 26} -> {18} (conf: 0.905, supp: 0.109, lift: 3.051, conv: 7.435)
{25, 27} -> {18} (conf: 0.932, supp: 0.239, lift: 3.141, conv: 10.380)
{18, 27} -> {25} (conf: 0.936, supp: 0.239, lift: 3.269, conv: 11.234)
{18, 25} -> {27} (conf: 0.954, supp: 0.239, lift: 3.379, conv: 15.563)
{26, 27} -> {18} (conf: 0.923, supp: 0.111, lift: 3.110, conv: 9.125)
{20, 21} -> {23} (conf: 0.902, supp: 0.124, lift: 3.079, conv: 7.235)
{20, 24} -> {21} (conf: 0.913, supp: 0.127, lift: 3.198, conv: 8.235)
{20, 21} -> {24} (conf: 0.921, supp: 0.127, lift: 3.171, conv: 9.029)
{20, 21} -> {25} (conf: 0.904, supp: 0.125, lift: 3.157, conv: 7.469)
{20, 27} -> {21} (conf: 0.930, supp: 0.128, lift: 3.255, conv: 10.147)
{20, 21} -> {27} (conf: 0.926, supp: 0.128, lift: 3.281, conv: 9.740)
{20, 24} -> {23} (conf: 0.911, supp: 0.127, lift: 3.109, conv: 7.964)
{20, 23} -> {24} (conf: 0.907, supp: 0.127, lift: 3.122, conv: 7.635)
{20, 27} -> {23} (conf: 0.901, supp: 0.124, lift: 3.073, conv: 7.111)
{20, 24} -> {25} (conf: 0.901, supp: 0.125, lift: 3.145, conv: 7.208)
{20, 27} -> {24} (conf: 0.928, supp: 0.128, lift: 3.194, conv: 9.866)
{20, 24} -> {27} (conf: 0.917, supp: 0.128, lift: 3.247, conv: 8.607)
{20, 27} -> {25} (conf: 0.930, supp: 0.128, lift: 3.247, conv: 10.194)
{20, 25} -> {27} (conf: 0.916, supp: 0.128, lift: 3.246, conv: 8.585)
{23, 24} -> {21} (conf: 0.924, supp: 0.240, lift: 3.236, conv: 9.416)
{21, 24} -> {23} (conf: 0.932, supp: 0.240, lift: 3.181, conv: 10.448)
{21, 23} -> {24} (conf: 0.953, supp: 0.240, lift: 3.280, conv: 15.148)
{23, 25} -> {21} (conf: 0.944, supp: 0.229, lift: 3.305, conv: 12.732)
{21, 25} -> {23} (conf: 0.921, supp: 0.229, lift: 3.144, conv: 8.988)
{21, 23} -> {25} (conf: 0.911, supp: 0.229, lift: 3.179, conv: 7.979)
{21, 26} -> {23} (conf: 0.901, supp: 0.109, lift: 3.076, conv: 7.175)
{23, 27} -> {21} (conf: 0.953, supp: 0.237, lift: 3.338, conv: 15.263)
{21, 27} -> {23} (conf: 0.923, supp: 0.237, lift: 3.150, conv: 9.184)
{21, 23} -> {27} (conf: 0.945, supp: 0.237, lift: 3.347, conv: 12.973)
{24, 25} -> {21} (conf: 0.935, supp: 0.235, lift: 3.275, conv: 11.051)
{21, 25} -> {24} (conf: 0.947, supp: 0.235, lift: 3.260, conv: 13.471)
{21, 24} -> {25} (conf: 0.916, supp: 0.235, lift: 3.197, conv: 8.475)
{24, 26} -> {21} (conf: 0.912, supp: 0.112, lift: 3.192, conv: 8.095)
{21, 26} -> {24} (conf: 0.924, supp: 0.112, lift: 3.180, conv: 9.318)
{24, 27} -> {21} (conf: 0.943, supp: 0.244, lift: 3.303, conv: 12.615)
{21, 27} -> {24} (conf: 0.948, supp: 0.244, lift: 3.262, conv: 13.581)
{21, 24} -> {27} (conf: 0.949, supp: 0.244, lift: 3.361, conv: 14.017)
{25, 27} -> {21} (conf: 0.931, supp: 0.239, lift: 3.259, conv: 10.322)
{21, 27} -> {25} (conf: 0.929, supp: 0.239, lift: 3.242, conv: 9.987)
{21, 25} -> {27} (conf: 0.962, supp: 0.239, lift: 3.406, conv: 18.679)
{26, 27} -> {21} (conf: 0.932, supp: 0.112, lift: 3.264, conv: 10.527)
{21, 26} -> {27} (conf: 0.923, supp: 0.112, lift: 3.269, conv: 9.294)
{24, 25} -> {23} (conf: 0.921, supp: 0.232, lift: 3.143, conv: 8.965)
{23, 25} -> {24} (conf: 0.956, supp: 0.232, lift: 3.289, conv: 16.041)
{24, 26} -> {23} (conf: 0.908, supp: 0.112, lift: 3.099, conv: 7.705)
{23, 26} -> {24} (conf: 0.909, supp: 0.112, lift: 3.130, conv: 7.827)
{24, 27} -> {23} (conf: 0.925, supp: 0.239, lift: 3.157, conv: 9.459)
{23, 27} -> {24} (conf: 0.960, supp: 0.239, lift: 3.304, conv: 17.716)
{23, 24} -> {27} (conf: 0.922, supp: 0.239, lift: 3.268, conv: 9.248)
{25, 27} -> {23} (conf: 0.906, supp: 0.233, lift: 3.093, conv: 7.555)
{23, 27} -> {25} (conf: 0.934, supp: 0.233, lift: 3.260, conv: 10.780)
{23, 25} -> {27} (conf: 0.959, supp: 0.233, lift: 3.398, conv: 17.645)
{25, 26} -> {24} (conf: 0.909, supp: 0.109, lift: 3.130, conv: 7.836)
{25, 27} -> {24} (conf: 0.940, supp: 0.241, lift: 3.235, conv: 11.791)
{24, 27} -> {25} (conf: 0.933, supp: 0.241, lift: 3.258, conv: 10.687)
{24, 25} -> {27} (conf: 0.959, supp: 0.241, lift: 3.396, conv: 17.353)
{26, 27} -> {24} (conf: 0.934, supp: 0.112, lift: 3.216, conv: 10.802)
{24, 26} -> {27} (conf: 0.913, supp: 0.112, lift: 3.234, conv: 8.232)
{26, 27} -> {25} (conf: 0.921, supp: 0.111, lift: 3.216, conv: 9.057)
{25, 26} -> {27} (conf: 0.919, supp: 0.111, lift: 3.254, conv: 8.821)
{52, 56} -> {49} (conf: 0.951, supp: 0.153, lift: 5.232, conv: 16.715)
{49, 56} -> {52} (conf: 0.973, supp: 0.153, lift: 5.401, conv: 29.922)
{49, 52} -> {56} (conf: 0.924, supp: 0.153, lift: 5.232, conv: 10.796)
{2, 17, 18} -> {1} (conf: 0.947, supp: 0.113, lift: 2.219, conv: 10.835)
{2, 17, 20} -> {1} (conf: 0.950, supp: 0.132, lift: 2.225, conv: 11.458)
{1, 2, 20} -> {17} (conf: 0.952, supp: 0.132, lift: 3.073, conv: 14.352)
{1, 2, 17} -> {20} (conf: 0.901, supp: 0.132, lift: 3.016, conv: 7.062)
{2, 17, 21} -> {1} (conf: 0.952, supp: 0.109, lift: 2.231, conv: 11.987)
{2, 17, 23} -> {1} (conf: 0.947, supp: 0.111, lift: 2.218, conv: 10.742)
{2, 17, 24} -> {1} (conf: 0.948, supp: 0.111, lift: 2.221, conv: 11.061)
{2, 17, 25} -> {1} (conf: 0.949, supp: 0.109, lift: 2.223, conv: 11.271)
{2, 17, 27} -> {1} (conf: 0.949, supp: 0.108, lift: 2.223, conv: 11.266)
{2, 18, 20} -> {1} (conf: 0.941, supp: 0.106, lift: 2.204, conv: 9.697)
{1, 18, 21} -> {2} (conf: 0.902, supp: 0.126, lift: 2.204, conv: 6.001)
{1, 2, 21} -> {18} (conf: 0.916, supp: 0.126, lift: 3.086, conv: 8.349)
{1, 18, 23} -> {2} (conf: 0.904, supp: 0.131, lift: 2.210, conv: 6.147)
{1, 2, 23} -> {18} (conf: 0.947, supp: 0.131, lift: 3.192, conv: 13.378)
{1, 2, 18} -> {23} (conf: 0.927, supp: 0.131, lift: 3.164, conv: 9.721)
{1, 18, 24} -> {2} (conf: 0.901, supp: 0.131, lift: 2.204, conv: 5.991)
{1, 2, 24} -> {18} (conf: 0.949, supp: 0.131, lift: 3.196, conv: 13.673)
{1, 2, 18} -> {24} (conf: 0.929, supp: 0.131, lift: 3.198, conv: 10.031)
{1, 18, 25} -> {2} (conf: 0.907, supp: 0.126, lift: 2.217, conv: 6.336)
{1, 2, 25} -> {18} (conf: 0.921, supp: 0.126, lift: 3.104, conv: 8.906)
{1, 18, 27} -> {2} (conf: 0.902, supp: 0.126, lift: 2.206, conv: 6.051)
{1, 2, 27} -> {18} (conf: 0.939, supp: 0.126, lift: 3.164, conv: 11.521)
{2, 20, 21} -> {1} (conf: 0.947, supp: 0.103, lift: 2.219, conv: 10.867)
{2, 20, 23} -> {1} (conf: 0.941, supp: 0.105, lift: 2.204, conv: 9.720)
{2, 20, 24} -> {1} (conf: 0.941, supp: 0.104, lift: 2.205, conv: 9.773)
{2, 20, 25} -> {1} (conf: 0.944, supp: 0.103, lift: 2.212, conv: 10.306)
{2, 20, 27} -> {1} (conf: 0.945, supp: 0.102, lift: 2.213, conv: 10.381)
{1, 2, 24} -> {21} (conf: 0.914, supp: 0.126, lift: 3.201, conv: 8.330)
{1, 2, 21} -> {24} (conf: 0.918, supp: 0.126, lift: 3.160, conv: 8.675)
{1, 2, 25} -> {21} (conf: 0.909, supp: 0.124, lift: 3.184, conv: 7.882)
{1, 2, 21} -> {25} (conf: 0.903, supp: 0.124, lift: 3.151, conv: 7.322)
{1, 2, 27} -> {21} (conf: 0.935, supp: 0.126, lift: 3.274, conv: 10.979)
{1, 2, 21} -> {27} (conf: 0.916, supp: 0.126, lift: 3.247, conv: 8.590)
{1, 23, 24} -> {2} (conf: 0.905, supp: 0.127, lift: 2.212, conv: 6.204)
{1, 2, 24} -> {23} (conf: 0.919, supp: 0.127, lift: 3.135, conv: 8.711)
{1, 2, 23} -> {24} (conf: 0.920, supp: 0.127, lift: 3.165, conv: 8.837)
{1, 23, 25} -> {2} (conf: 0.910, supp: 0.122, lift: 2.226, conv: 6.589)
{1, 23, 27} -> {2} (conf: 0.902, supp: 0.123, lift: 2.206, conv: 6.043)
{1, 2, 27} -> {23} (conf: 0.914, supp: 0.123, lift: 3.120, conv: 8.267)
{1, 24, 25} -> {2} (conf: 0.905, supp: 0.125, lift: 2.212, conv: 6.201)
{1, 2, 25} -> {24} (conf: 0.920, supp: 0.125, lift: 3.167, conv: 8.892)
{1, 2, 24} -> {25} (conf: 0.909, supp: 0.125, lift: 3.174, conv: 7.871)
{1, 2, 27} -> {24} (conf: 0.941, supp: 0.127, lift: 3.238, conv: 11.977)
{1, 2, 24} -> {27} (conf: 0.918, supp: 0.127, lift: 3.253, conv: 8.771)
{1, 2, 27} -> {25} (conf: 0.939, supp: 0.126, lift: 3.279, conv: 11.743)
{1, 2, 25} -> {27} (conf: 0.928, supp: 0.126, lift: 3.286, conv: 9.917)
{3, 17, 20} -> {1} (conf: 0.951, supp: 0.116, lift: 2.229, conv: 11.804)
{1, 3, 20} -> {17} (conf: 0.951, supp: 0.116, lift: 3.070, conv: 14.089)
{1, 3, 17} -> {20} (conf: 0.901, supp: 0.116, lift: 3.016, conv: 7.050)
{1, 12, 20} -> {17} (conf: 0.957, supp: 0.101, lift: 3.091, conv: 16.175)
