lhs,rhs,confidence
"(24, 119)","(25,)",0.8476998660116123
"(25, 231)","(24,)",0.8314977973568282
"(24, 231)","(25,)",0.855039637599094
"(25, 249)","(24,)",0.8529688972667295
"(24, 249)","(25,)",0.8668582375478927
"(25, 250)","(24,)",0.8672438672438673
"(24, 250)","(25,)",0.8312586445366529
"(25, 295)","(24,)",0.8617256637168141
"(24, 295)","(25,)",0.8522975929978118
"(25, 348)","(24,)",0.8489096573208723
"(24, 348)","(25,)",0.8410493827160493
"(25, 353)","(24,)",0.8962585034013606
"(24, 353)","(25,)",0.8710743801652893
"(25, 355)","(24,)",0.8676893576222435
"(24, 355)","(25,)",0.888125613346418
"(25, 386)","(24,)",0.8701594533029613
"(24, 386)","(25,)",0.8655589123867069
"(25, 446)","(24,)",0.9042207792207793
"(24, 446)","(25,)",0.8841269841269841
"(25, 447)","(24,)",0.928388746803069
"(24, 447)","(25,)",0.9289827255278311
"(25, 449)","(24,)",0.9047619047619048
"(24, 449)","(25,)",0.9047619047619048
"(25, 597)","(24,)",0.8697674418604651
"(24, 597)","(25,)",0.85
"(26, 27)","(24,)",0.9343213728549142
"(24, 26)","(27,)",0.9128181679622008
"(26, 447)","(24,)",0.763938315539739
"(27, 28)","(24,)",0.9321353065539112
"(24, 28)","(27,)",0.8988786952089705
"(27, 29)","(24,)",0.9401616073378467
"(24, 29)","(27,)",0.9093789607097592
"(27, 30)","(24,)",0.9081260364842454
"(24, 30)","(27,)",0.8764404609475032
"(27, 67)","(24,)",0.9141414141414141
"(24, 67)","(27,)",0.8778659611992945
"(27, 105)","(24,)",0.9243697478991597
"(24, 105)","(27,)",0.9069493521790342
"(27, 106)","(24,)",0.9077125906394199
"(24, 106)","(27,)",0.8821268417680974
"(27, 112)","(24,)",0.8978374347501864
"(24, 112)","(27,)",0.8587731811697575
"(27, 117)","(24,)",0.925459825750242
"(24, 117)","(27,)",0.8929016189290162
"(27, 119)","(24,)",0.9176415535797847
"(24, 119)","(27,)",0.8758374274229567
"(27, 231)","(24,)",0.893491124260355
"(24, 231)","(27,)",0.855039637599094
"(27, 249)","(24,)",0.9142300194931774
"(24, 249)","(27,)",0.8984674329501916
"(27, 250)","(24,)",0.9133627019089574
"(24, 250)","(27,)",0.8603042876901799
"(27, 295)","(24,)",0.908883826879271
"(24, 295)","(27,)",0.8730853391684902
"(27, 348)","(24,)",0.8851674641148325
"(24, 348)","(27,)",0.8564814814814815
"(27, 350)","(24,)",0.9143780290791599
"(24, 350)","(27,)",0.8641221374045801
"(27, 353)","(24,)",0.9302925989672978
"(24, 353)","(27,)",0.8933884297520661
"(27, 355)","(24,)",0.9042871385842473
"(24, 355)","(27,)",0.8900883218842002
"(27, 386)","(24,)",0.9183032207384132
"(24, 386)","(27,)",0.8829305135951662
"(27, 400)","(24,)",0.9083333333333333
"(24, 400)","(27,)",0.8637083993660856
"(27, 446)","(24,)",0.9168
"(24, 446)","(27,)",0.9095238095238095
"(27, 447)","(24,)",0.9469598965071151
"(24, 447)","(27,)",0.9366602687140115
"(27, 449)","(24,)",0.9223744292237442
"(24, 449)","(27,)",0.9308755760368663
"(27, 597)","(24,)",0.906396255850234
"(24, 597)","(27,)",0.8803030303030303
"(26, 27)","(25,)",0.9212168486739469
"(25, 26)","(27,)",0.9186372121966397
"(26, 447)","(25,)",0.7651245551601423
"(27, 28)","(25,)",0.9211416490486258
"(25, 28)","(27,)",0.9086548488008342
"(27, 29)","(25,)",0.9290238043240883
"(25, 29)","(27,)",0.9124839124839125
"(27, 30)","(25,)",0.9087893864013267
"(25, 30)","(27,)",0.8728894552405224
"(27, 67)","(25,)",0.9104683195592287
"(25, 67)","(27,)",0.8754966887417218
"(27, 105)","(25,)",0.9251700680272109
"(25, 105)","(27,)",0.9167327517842981
"(27, 106)","(25,)",0.9063941990771259
"(25, 106)","(27,)",0.879156010230179
"(27, 112)","(25,)",0.8970917225950783
"(25, 112)","(27,)",0.8711078928312816
"(27, 117)","(25,)",0.9131978057437883
"(25, 117)","(27,)",0.8890983349041784
"(27, 119)","(25,)",0.8951801591015442
"(25, 119)","(27,)",0.8747142203932328
"(27, 231)","(25,)",0.8970414201183432
"(25, 231)","(27,)",0.8348017621145375
"(27, 249)","(25,)",0.9035087719298246
"(25, 249)","(27,)",0.8737040527803959
"(27, 250)","(25,)",0.9001468428781204
"(25, 250)","(27,)",0.8845598845598845
"(27, 295)","(25,)",0.9009111617312073
"(25, 295)","(27,)",0.875
"(27, 348)","(25,)",0.9122807017543859
"(25, 348)","(27,)",0.8909657320872274
"(27, 350)","(25,)",0.864297253634895
"(25, 350)","(27,)",0.8916666666666667
"(27, 353)","(25,)",0.9199655765920827
"(25, 353)","(27,)",0.9090136054421769
"(27, 355)","(25,)",0.9242273180458624
"(25, 355)","(27,)",0.8887823585810163
"(27, 386)","(25,)",0.9135899450117831
"(25, 386)","(27,)",0.8830675778283978
"(27, 400)","(25,)",0.8916666666666667
"(25, 400)","(27,)",0.8887043189368771
"(27, 446)","(25,)",0.9168
"(25, 446)","(27,)",0.9301948051948052
"(27, 447)","(25,)",0.944372574385511
"(25, 447)","(27,)",0.9335038363171355
"(27, 449)","(25,)",0.9208523592085236
"(25, 449)","(27,)",0.9293394777265745
"(27, 597)","(25,)",0.8954758190327613
"(25, 597)","(27,)",0.889922480620155
"(26, 447)","(27,)",0.7603795966785291
"(28, 353)","(29,)",0.7474120082815735
"(106, 112)","(30,)",0.7037383177570093
"(112, 231)","(30,)",0.720969089390142
"(13, 24, 25)","(21,)",0.93662290629244
"(13, 21, 25)","(24,)",0.957427117075428
"(13, 21, 24)","(25,)",0.9248994188645507
"(13, 25)","(21, 24)",0.8386704499391974
"(13, 24)","(21, 25)",0.8234825870646766
"(13, 21)","(24, 25)",0.8507401315789473
"(13, 24, 26)","(21,)",0.9110942249240122
"(13, 21, 26)","(24,)",0.9418695993715632
"(13, 24, 27)","(21,)",0.9438449680687073
"(13, 21, 27)","(24,)",0.9620650953984288
"(13, 21, 24)","(27,)",0.9579794367456415
"(13, 27)","(21, 24)",0.880262887656603
"(13, 24)","(21, 27)",0.8529353233830845
"(13, 21)","(24, 27)",0.8811677631578947
"(13, 24, 28)","(21,)",0.8884250474383302
"(13, 21, 28)","(24,)",0.928968253968254
"(13, 24, 29)","(21,)",0.9037600716204118
"(13, 21, 29)","(24,)",0.9355885078776645
"(13, 24, 30)","(21,)",0.8798283261802575
"(13, 21, 30)","(24,)",0.8922742110990207
"(13, 24, 67)","(21,)",0.8841978287092883
"(13, 21, 67)","(24,)",0.9196988707653702
"(13, 24, 117)","(21,)",0.8946975354742345
"(13, 21, 117)","(24,)",0.9301242236024845
"(13, 24, 119)","(21,)",0.8586858685868587
"(13, 21, 119)","(24,)",0.9190751445086706
"(13, 25, 26)","(21,)",0.9047805642633229
"(13, 21, 26)","(25,)",0.9069128043990573
"(13, 25, 27)","(21,)",0.9309269162210339
"(13, 21, 27)","(25,)",0.9378226711560045
"(13, 21, 25)","(27,)",0.966682091624248
"(13, 27)","(21, 25)",0.858081741630725
"(13, 25)","(21, 27)",0.8467774625050669
"(13, 21)","(25, 27)",0.8589638157894737
"(13, 25, 28)","(21,)",0.8847364280094414
"(13, 21, 28)","(25,)",0.8924603174603175
"(13, 25, 29)","(21,)",0.8880733944954129
"(13, 21, 29)","(25,)",0.897126969416126
"(13, 25, 30)","(21,)",0.8411703239289446
"(13, 21, 30)","(25,)",0.8759521218715995
"(13, 25, 67)","(21,)",0.8447653429602888
"(13, 21, 67)","(25,)",0.8808030112923463
"(13, 25, 117)","(21,)",0.8824884792626728
"(13, 21, 117)","(25,)",0.8920807453416149
"(13, 25, 119)","(21,)",0.8548837209302326
"(13, 21, 119)","(25,)",0.8853564547206165
"(13, 26, 27)","(21,)",0.9344006247559548
"(13, 21, 26)","(27,)",0.9399057344854674
"(13, 27, 28)","(21,)",0.9199048374306106
"(13, 21, 28)","(27,)",0.9206349206349206
"(13, 27, 29)","(21,)",0.9252685660906118
"(13, 21, 29)","(27,)",0.9179796107506951
"(13, 27, 30)","(21,)",0.8906926406926406
"(13, 21, 30)","(27,)",0.8955386289445049
"(13, 27, 67)","(21,)",0.9017412935323383
"(13, 21, 67)","(27,)",0.9096612296110415
"(13, 27, 117)","(21,)",0.9254901960784314
"(13, 21, 117)","(27,)",0.9161490683229814
"(13, 27, 119)","(21,)",0.8940397350993378
"(13, 21, 119)","(27,)",0.9104046242774566
"(13, 25, 26)","(24,)",0.9220219435736677
"(13, 24, 26)","(25,)",0.8939969604863222
"(13, 25, 27)","(24,)",0.9512032085561497
"(13, 24, 27)","(25,)",0.9401012992732878
"(13, 24, 25)","(27,)",0.9662743322770484
"(13, 27)","(24, 25)",0.8767714109673445
"(13, 25)","(24, 27)",0.8652209160924199
"(13, 24)","(25, 27)",0.8495522388059702
"(13, 25, 28)","(24,)",0.9103068450039339
"(13, 24, 28)","(25,)",0.8781783681214421
"(13, 25, 29)","(24,)",0.9178899082568808
"(13, 24, 29)","(25,)",0.8957027752909579
"(13, 25, 30)","(24,)",0.8683385579937304
"(13, 24, 30)","(25,)",0.8916309012875536
"(13, 25, 67)","(24,)",0.8688327316486161
"(13, 24, 67)","(25,)",0.8709288299155609
"(13, 25, 117)","(24,)",0.9070660522273426
"(13, 24, 117)","(25,)",0.8820014936519791
"(13, 25, 119)","(24,)",0.8865116279069768
"(13, 24, 119)","(25,)",0.8577857785778578
"(13, 26, 27)","(24,)",0.9453338539632956
"(13, 24, 26)","(27,)",0.9198328267477204
"(13, 27, 28)","(24,)",0.9432989690721649
"(13, 24, 28)","(27,)",0.9028462998102467
"(13, 27, 29)","(24,)",0.9542269967304998
"(13, 24, 29)","(27,)",0.914503133393017
"(13, 27, 30)","(24,)",0.9145021645021645
"(13, 24, 30)","(27,)",0.9066523605150214
"(13, 27, 67)","(24,)",0.9203980099502488
"(13, 24, 67)","(27,)",0.8926417370325693
"(13, 27, 117)","(24,)",0.9419607843137255
"(13, 24, 117)","(27,)",0.8969380134428678
"(13, 27, 119)","(24,)",0.9262062440870388
"(13, 24, 119)","(27,)",0.8811881188118812
"(13, 26, 27)","(25,)",0.9285435376805935
"(13, 25, 26)","(27,)",0.9318181818181818
"(13, 27, 28)","(25,)",0.9254559873116575
"(13, 25, 28)","(27,)",0.918174665617624
"(13, 27, 29)","(25,)",0.930873423633816
"(13, 25, 29)","(27,)",0.9142201834862386
"(13, 27, 30)","(25,)",0.9166666666666666
"(13, 25, 30)","(27,)",0.8850574712643678
"(13, 27, 67)","(25,)",0.914179104477612
"(13, 25, 67)","(27,)",0.8844765342960289
"(13, 27, 117)","(25,)",0.9294117647058824
"(13, 25, 117)","(27,)",0.9101382488479263
"(13, 27, 119)","(25,)",0.9091769157994324
"(13, 25, 119)","(27,)",0.893953488372093
"(13, 28, 353)","(29,)",0.7913340935005702
"(24, 25, 26)","(21,)",0.9445774888812863
"(21, 25, 26)","(24,)",0.9545375972342265
"(21, 24, 26)","(25,)",0.9231026412571046
"(25, 26)","(21, 24)",0.8590541381456129
"(24, 26)","(21, 25)",0.8416399939033684
"(21, 26)","(24, 25)",0.8528185328185328
"(24, 25, 27)","(21,)",0.9494063785209902
"(21, 25, 27)","(24,)",0.9586304160463841
"(21, 24, 27)","(25,)",0.9392031933676211
"(21, 24, 25)","(27,)",0.9730396055352314
"(25, 27)","(21, 24)",0.892284130688448
"(24, 27)","(21, 25)",0.8860163661380259
"(24, 25)","(21, 27)",0.910139105854348
"(21, 27)","(24, 25)",0.8901418697708258
"(21, 25)","(24, 27)",0.9217961274768327
"(21, 24)","(25, 27)",0.8911143481427531
"(27,)","(21, 24, 25)",0.8112857237583715
"(25,)","(21, 24, 27)",0.7994641923680084
"(24,)","(21, 25, 27)",0.7881852734651807
"(21,)","(24, 25, 27)",0.8018744265303447
"(24, 25, 28)","(21,)",0.9363826329231484
"(21, 25, 28)","(24,)",0.9532025525880407
"(21, 24, 28)","(25,)",0.921617915904936
"(25, 28)","(21, 24)",0.8410844629822732
"(24, 28)","(21, 25)",0.8222222222222222
"(21, 28)","(24, 25)",0.845315447495284
"(24, 25, 29)","(21,)",0.9377956480605487
"(21, 25, 29)","(24,)",0.9626122845350813
"(21, 24, 29)","(25,)",0.9307511737089202
"(25, 29)","(21, 24)",0.8504933504933505
"(24, 29)","(21, 25)",0.8375580904098014
"(21, 29)","(24, 25)",0.8612076455256299
"(24, 25, 30)","(21,)",0.9262962962962963
"(21, 25, 30)","(24,)",0.9444864048338368
"(21, 24, 30)","(25,)",0.9161172161172161
"(25, 30)","(21, 24)",0.7967505575023893
"(24, 30)","(21, 25)",0.8005761843790012
"(21, 30)","(24, 25)",0.8086000646621403
"(24, 25, 67)","(21,)",0.9305058763413387
"(21, 25, 67)","(24,)",0.942058975685463
"(21, 24, 67)","(25,)",0.9073243647234679
"(25, 67)","(21, 24)",0.8039735099337748
"(24, 67)","(21, 25)",0.8029100529100529
"(21, 67)","(24, 25)",0.815129811996419
"(24, 25, 105)","(21,)",0.9357838795394154
"(21, 25, 105)","(24,)",0.9496629213483146
"(21, 24, 105)","(25,)",0.9296084469863617
"(25, 105)","(21, 24)",0.837827121332276
"(24, 105)","(21, 25)",0.8296034550451512
"(21, 105)","(24, 25)",0.8496180136710897
"(24, 25, 106)","(21,)",0.9381980640357409
"(21, 25, 106)","(24,)",0.9417040358744395
"(21, 24, 106)","(25,)",0.9104046242774566
"(25, 106)","(21, 24)",0.8056265984654731
"(24, 106)","(21, 25)",0.8071748878923767
"(21, 106)","(24, 25)",0.8160621761658031
"(24, 25, 112)","(21,)",0.9201359388275276
"(21, 25, 112)","(24,)",0.9328165374677002
"(21, 24, 112)","(25,)",0.9055183946488294
"(25, 112)","(21, 24)",0.7842143374366402
"(24, 112)","(21, 25)",0.7724679029957204
"(21, 112)","(24, 25)",0.7847826086956522
"(24, 25, 117)","(21,)",0.9378551136363636
"(21, 25, 117)","(24,)",0.9510262873604609
"(21, 24, 117)","(25,)",0.9195682451253482
"(25, 117)","(21, 24)",0.8297203895695885
"(24, 117)","(21, 25)",0.8222291407222914
"(21, 117)","(24, 25)",0.835495096488453
"(24, 25, 119)","(21,)",0.9220231822971549
"(21, 25, 119)","(24,)",0.9464575446187128
"(21, 24, 119)","(25,)",0.9086188992731049
"(25, 119)","(21, 24)",0.8001828989483311
"(24, 119)","(21, 25)",0.7815989280928987
"(21, 119)","(24, 25)",0.8150908244061481
"(24, 25, 231)","(21,)",0.9152317880794701
"(21, 25, 231)","(24,)",0.937584803256445
"(21, 24, 231)","(25,)",0.9068241469816273
"(25, 231)","(21, 24)",0.7610132158590308
"(24, 231)","(21, 25)",0.782559456398641
"(21, 231)","(24, 25)",0.8063010501750292
"(24, 25, 249)","(21,)",0.9281767955801105
"(21, 25, 249)","(24,)",0.9343715239154616
"(21, 24, 249)","(25,)",0.9120521172638436
"(25, 249)","(21, 24)",0.7917059377945335
"(24, 249)","(21, 25)",0.8045977011494253
"(21, 249)","(24, 25)",0.813953488372093
"(24, 25, 250)","(21,)",0.9217970049916805
"(21, 25, 250)","(24,)",0.9437819420783645
"(21, 24, 250)","(25,)",0.9022801302931596
"(25, 250)","(21, 24)",0.7994227994227994
"(24, 250)","(21, 25)",0.7662517289073306
"(21, 250)","(24, 25)",0.7891737891737892
"(24, 25, 295)","(21,)",0.9332477535301669
"(21, 25, 295)","(24,)",0.9478487614080835
"(21, 24, 295)","(25,)",0.8986402966625463
"(25, 295)","(21, 24)",0.8042035398230089
"(24, 295)","(21, 25)",0.7954048140043763
"(21, 295)","(24, 25)",0.7971491228070176
"(24, 25, 353)","(21,)",0.9402277039848197
"(21, 25, 353)","(24,)",0.9510556621880998
"(21, 24, 353)","(25,)",0.9116835326586936
"(25, 353)","(21, 24)",0.842687074829932
"(24, 353)","(21, 25)",0.8190082644628099
"(21, 353)","(24, 25)",0.8313758389261745
"(24, 25, 355)","(21,)",0.9337016574585635
"(21, 25, 355)","(24,)",0.9326710816777042
"(21, 24, 355)","(25,)",0.9337016574585635
"(25, 355)","(21, 24)",0.8101629913710451
"(24, 355)","(21, 25)",0.8292443572129539
"(21, 355)","(24, 25)",0.8211856171039844
"(24, 25, 386)","(21,)",0.9214659685863874
"(21, 25, 386)","(24,)",0.9395017793594306
"(21, 24, 386)","(25,)",0.9134948096885813
"(25, 386)","(21, 24)",0.8018223234624146
"(24, 386)","(21, 25)",0.797583081570997
"(21, 386)","(24, 25)",0.8154440154440155
"(24, 25, 447)","(21,)",0.9545454545454546
"(21, 25, 447)","(24,)",0.9604989604989606
"(21, 24, 447)","(25,)",0.9552033080634046
"(25, 447)","(21, 24)",0.8861892583120204
"(24, 447)","(21, 25)",0.8867562380038387
"(21, 447)","(24, 25)",0.8930412371134021
"(24, 25, 449)","(21,)",0.9524617996604414
"(21, 25, 449)","(24,)",0.949238578680203
"(21, 24, 449)","(25,)",0.9396984924623115
"(25, 449)","(21, 24)",0.8617511520737328
"(24, 449)","(21, 25)",0.8617511520737328
"(21, 449)","(24, 25)",0.868421052631579
"(24, 26, 27)","(21,)",0.9537485389881449
"(21, 26, 27)","(24,)",0.9559832635983263
"(21, 24, 26)","(27,)",0.954864593781344
"(26, 27)","(21, 24)",0.8911076443057723
"(24, 26)","(21, 27)",0.8705989940557842
"(21, 26)","(24, 27)",0.8821621621621621
"(24, 26, 28)","(21,)",0.9067572668931673
"(21, 26, 28)","(24,)",0.9357226334242306
"(24, 26, 29)","(21,)",0.9203431372549019
"(21, 26, 29)","(24,)",0.9450503355704698
"(24, 26, 30)","(21,)",0.8977049180327868
"(21, 26, 30)","(24,)",0.9120586275816123
"(24, 26, 67)","(21,)",0.9112602535421327
"(21, 26, 67)","(24,)",0.9174174174174174
"(24, 26, 105)","(21,)",0.9113924050632911
"(21, 26, 105)","(24,)",0.9263157894736842
"(24, 26, 106)","(21,)",0.9131016042780749
"(21, 26, 106)","(24,)",0.9204851752021563
"(24, 26, 117)","(21,)",0.9202453987730062
"(21, 26, 117)","(24,)",0.9227614490772386
"(24, 26, 119)","(21,)",0.8955613577023499
"(21, 26, 119)","(24,)",0.9228699551569507
"(24, 26, 447)","(21,)",0.9518633540372671
"(21, 26, 447)","(24,)",0.9416282642089093
"(26, 447)","(21, 24)",0.727164887307236
"(24, 27, 28)","(21,)",0.946246314356997
"(21, 27, 28)","(24,)",0.9573198715006884
"(21, 24, 28)","(27,)",0.953382084095064
"(27, 28)","(21, 24)",0.8820295983086681
"(24, 28)","(21, 27)",0.8505606523955148
"(21, 28)","(24, 27)",0.8744498008803185
"(24, 27, 29)","(21,)",0.945876887340302
